Date,HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,Home_adv_elo,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,Full Time Home Goals,Full Time Away Goals
2004-08-25,Fulham,Middlesbrough,1511.3553039788521,1489.589284558578,3.0,1.0,2.0,1,0,1.0,0.0,0.5,1.5,0.5,157.5,5.0,7.0,-2.0,0,1,0.0,1.0,0.0,2.5,3.5,0,0,0,0.0,0.0,0,2
2004-08-25,Charlton,Aston Villa,1493.5110343267438,1510.6263332021504,3.0,5.0,-2.0,1,0,1.0,1.0,0.5,1.5,2.5,157.5,3.0,1.0,2.0,0,0,1.0,0.0,0.5,1.5,0.5,0,0,0,0.0,0.0,3,0
2004-08-25,Arsenal,Blackburn,1524.3096517061456,1492.8031424604283,9.0,4.0,5.0,2,0,2.0,0.0,1.0,4.5,2.0,157.5,3.0,4.0,-1.0,0,1,0.0,1.0,0.0,1.5,2.0,0,0,0,0.0,0.0,3,0
2004-08-28,Norwich,Arsenal,1493.0984775988752,1530.7436354500005,4.0,5.0,-1.0,0,0,0.0,1.0,0.0,1.3333333333333333,1.6666666666666667,-142.5,12.0,4.0,8.0,3,0,3.0,0.0,1.0,4.0,1.3333333333333333,0,0,0,0.0,0.0,1,4
2004-08-28,Middlesbrough,Crystal Palace,1504.5686473734188,1483.0196529153864,7.0,7.0,0.0,1,0,1.0,1.0,0.3333333333333333,2.3333333333333335,2.3333333333333335,7.5,2.0,6.0,-4.0,0,2,0.0,2.0,0.0,0.6666666666666666,2.0,0,0,0,0.0,0.0,2,1
2004-08-28,Tottenham,Birmingham,1503.0609308510911,1500.0210844738724,3.0,2.0,1.0,0,0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,7.5,2.0,2.0,0.0,1,0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,0,0,0.0,0.0,1,0
2004-08-28,Man City,Charlton,1486.2824244098524,1501.545968096268,2.0,4.0,-2.0,0,2,0.0,2.0,0.0,0.6666666666666666,1.3333333333333333,7.5,6.0,5.0,1.0,2,0,2.0,1.0,0.6666666666666666,2.0,1.6666666666666667,0,0,0,0.0,0.0,4,0
2004-08-28,Everton,West Brom,1497.4467200549873,1504.0894123155392,4.0,5.0,-1.0,1,0,1.0,1.0,0.5,2.0,2.5,7.5,3.0,3.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0,2,1
2004-08-28,Blackburn,Man United,1486.3691587165733,1500.150564756903,3.0,7.0,-4.0,0,2,0.0,2.0,0.0,1.0,2.3333333333333335,7.5,2.0,2.0,0.0,1,0,1.0,1.0,0.5,1.0,1.0,0,0,0,0.0,0.0,1,1
2004-08-28,Aston Villa,Newcastle,1502.591399432626,1492.9279408849868,3.0,4.0,-1.0,0,1,1.0,1.0,0.3333333333333333,1.0,1.3333333333333333,157.5,4.0,5.0,-1.0,0,0,0.0,1.0,0.0,1.3333333333333333,1.6666666666666667,0,0,0,0.0,0.0,4,2
2004-08-28,Chelsea,Southampton,1519.341046426648,1487.1244461514193,4.0,0.0,4.0,3,0,3.0,0.0,1.0,1.3333333333333333,0.0,157.5,4.0,6.0,-2.0,0,1,1.0,2.0,0.3333333333333333,1.3333333333333333,2.0,0,0,0,0.0,0.0,2,1
2004-08-29,Bolton,Liverpool,1511.5222735444331,1506.9640617301905,6.0,4.0,2.0,1,0,2.0,1.0,0.6666666666666666,2.0,1.3333333333333333,157.5,3.0,2.0,1.0,1,0,1.0,0.0,0.5,1.5,1.0,0,0,0,0.0,0.0,1,0
2004-08-30,Man United,Everton,1499.9703057264312,1504.3583949021577,3.0,3.0,0.0,0,0,1.0,1.0,0.3333333333333333,1.0,1.0,7.5,6.0,6.0,0.0,2,0,2.0,1.0,0.6666666666666666,2.0,2.0,0,0,0,0.0,0.0,0,0
2004-08-30,Portsmouth,Fulham,1492.7562136529173,1496.3759411640112,2.0,3.0,-1.0,0,1,0.0,1.0,0.0,1.0,1.5,7.5,3.0,3.0,0.0,0,1,1.0,1.0,0.3333333333333333,1.0,1.0,0,0,0,0.0,0.0,4,3
2004-09-11,Aston Villa,Chelsea,1508.2361460818363,1522.5472591326288,7.0,6.0,1.0,1,0,2.0,1.0,0.5,1.75,1.5,7.5,6.0,1.0,5.0,4,0,4.0,0.0,1.0,1.5,0.25,0,0,0,0.0,0.0,0,0
2004-09-11,Bolton,Man United,1515.1678022832066,1499.8808666401235,7.0,4.0,3.0,2,0,3.0,1.0,0.75,1.75,1.0,157.5,3.0,3.0,0.0,0,0,1.0,1.0,0.25,0.75,0.75,0,0,0,0.0,0.0,2,2
2004-09-11,Fulham,Arsenal,1489.5339466866346,1537.4510835961016,6.0,7.0,-1.0,0,2,1.0,2.0,0.25,1.5,1.75,-67.5,16.0,5.0,11.0,4,0,4.0,0.0,1.0,4.0,1.25,0,0,0,0.0,0.0,0,3
2004-09-11,Liverpool,West Brom,1503.318532991417,1497.1777374683688,3.0,3.0,0.0,0,1,1.0,1.0,0.3333333333333333,1.0,1.0,157.5,4.0,5.0,-1.0,0,1,0.0,1.0,0.0,1.0,1.25,0,0,0,0.0,0.0,3,0
2004-09-11,Man City,Everton,1502.6785171156098,1504.4478339884654,6.0,4.0,2.0,1,0,1.0,2.0,0.25,1.5,1.0,7.5,6.0,6.0,0.0,0,0,2.0,1.0,0.5,1.5,1.5,0,0,0,0.0,0.0,0,1
2004-09-11,Middlesbrough,Birmingham,1510.839131361201,1493.3318690799063,9.0,8.0,1.0,2,0,2.0,1.0,0.5,2.25,2.0,82.5,2.0,3.0,-1.0,0,1,1.0,2.0,0.25,0.5,0.75,0,0,0,0.0,0.0,2,1
2004-09-11,Newcastle,Blackburn,1487.2831942357766,1486.549417747045,6.0,9.0,-3.0,0,1,0.0,2.0,0.0,1.5,2.25,7.5,4.0,8.0,-4.0,0,0,0.0,2.0,0.0,1.0,2.0,0,0,0,0.0,0.0,3,0
2004-09-11,Portsmouth,Crystal Palace,1499.5982081302939,1476.7491689276042,6.0,6.0,0.0,1,0,1.0,1.0,0.3333333333333333,2.0,2.0,82.5,3.0,8.0,-5.0,0,3,0.0,3.0,0.0,0.75,2.0,0,0,0,0.0,0.0,3,1
2004-09-12,Tottenham,Norwich,1509.7501462450573,1486.391029452774,4.0,2.0,2.0,1,0,2.0,0.0,0.5,1.0,0.5,82.5,5.0,9.0,-4.0,0,1,0.0,2.0,0.0,1.25,2.25,0,0,0,0.0,0.0,0,0
2004-09-13,Charlton,Southampton,1485.1498753905107,1483.9182334454385,6.0,9.0,-3.0,0,1,2.0,2.0,0.5,1.5,2.25,157.5,5.0,8.0,-3.0,0,2,1.0,3.0,0.25,1.25,2.0,0,0,0,0.0,0.0,0,0
2004-09-18,Arsenal,Bolton,1546.4014823513417,1510.902706056426,19.0,5.0,14.0,5,0,5.0,0.0,1.0,3.8,1.0,82.5,9.0,6.0,3.0,0,0,3.0,1.0,0.6,1.8,1.2,0,0,0,0.0,0.0,2,2
2004-09-18,Birmingham,Charlton,1488.559199274765,1481.1623130392813,3.0,5.0,-2.0,0,2,1.0,3.0,0.2,0.6,1.0,82.5,6.0,9.0,-3.0,0,0,2.0,2.0,0.4,1.2,1.8,0,0,0,0.0,0.0,1,1
2004-09-18,Blackburn,Portsmouth,1473.0654121628613,1506.9972910530435,4.0,11.0,-7.0,0,1,0.0,3.0,0.0,0.8,2.2,7.5,9.0,7.0,2.0,2,0,2.0,1.0,0.5,2.25,1.75,0,0,0,0.0,0.0,1,0
2004-09-18,Crystal Palace,Man City,1469.3500860048546,1495.6510319600993,4.0,11.0,-7.0,0,4,0.0,4.0,0.0,0.8,2.2,7.5,6.0,5.0,1.0,0,1,1.0,3.0,0.2,1.2,1.0,0,0,0,0.0,0.0,1,2
2004-09-18,Norwich,Aston Villa,1489.2112850846672,1508.4315555841522,5.0,9.0,-4.0,0,0,0.0,2.0,0.0,1.0,1.8,7.5,7.0,6.0,1.0,0,0,2.0,1.0,0.4,1.4,1.2,0,0,0,0.0,0.0,0,0
2004-09-18,West Brom,Fulham,1489.9391037200678,1480.5835479313946,4.0,8.0,-4.0,0,2,0.0,2.0,0.0,0.8,1.6,7.5,6.0,10.0,-4.0,0,3,1.0,3.0,0.2,1.2,2.0,0,0,0,0.0,0.0,1,1
2004-09-19,Chelsea,Tottenham,1522.351849630313,1506.9298906131642,6.0,1.0,5.0,0,0,4.0,0.0,0.8,1.2,0.2,82.5,4.0,2.0,2.0,0,0,2.0,0.0,0.4,0.8,0.4,0,0,0,0.0,0.0,0,0
2004-09-19,Everton,Middlesbrough,1511.4753191439759,1515.6118011663423,7.0,6.0,1.0,1,0,3.0,1.0,0.6,1.4,1.2,7.5,11.0,9.0,2.0,3,0,3.0,1.0,0.6,2.2,1.8,0,0,0,0.0,0.0,1,0
2004-09-19,Southampton,Newcastle,1487.905795796668,1500.7671998199603,5.0,8.0,-3.0,0,0,1.0,3.0,0.2,1.0,1.6,82.5,9.0,9.0,0.0,1,0,1.0,2.0,0.2,1.8,1.8,0,0,0,0.0,0.0,1,2
2004-09-20,Man United,Liverpool,1504.145962866904,1510.557166739718,5.0,5.0,0.0,0,0,1.0,1.0,0.2,1.0,1.0,82.5,6.0,3.0,3.0,1,0,2.0,1.0,0.5,1.5,0.75,0,0,0,0.0,0.0,2,1
2004-09-25,Man City,Arsenal,1502.1522250018083,1543.296566510122,7.0,5.0,2.0,1,0,2.0,3.0,0.4,1.4,1.0,-92.5,17.0,6.0,11.0,0,0,4.0,0.0,0.8,3.4,1.2,0,0,0,0.0,0.0,0,1
2004-09-25,Tottenham,Man United,1509.5589615633996,1509.4014797787509,3.0,1.0,2.0,0,0,2.0,0.0,0.4,0.6,0.2,57.49999999999999,7.0,5.0,2.0,1,0,2.0,0.0,0.4,1.4,1.0,0,0,0,0.0,0.0,0,1
2004-09-25,Middlesbrough,Chelsea,1508.7579094466305,1519.7227786800775,9.0,8.0,1.0,0,1,3.0,2.0,0.6,1.8,1.6,7.5,5.0,1.0,4.0,0,0,3.0,0.0,0.6,1.0,0.2,0,0,0,0.0,0.0,0,1
2004-09-25,Newcastle,West Brom,1508.8149349129394,1489.45802790102,9.0,8.0,1.0,2,0,2.0,2.0,0.4,1.8,1.6,57.49999999999999,4.0,8.0,-4.0,0,0,0.0,2.0,0.0,0.8,1.6,0,0,0,0.0,0.0,3,1
2004-09-25,Aston Villa,Crystal Palace,1508.096133906593,1462.8488929631455,5.0,6.0,-1.0,0,0,1.0,1.0,0.2,1.0,1.2,107.5,4.0,12.0,-8.0,0,5,0.0,5.0,0.0,0.8,2.4,0,0,0,0.0,0.0,1,1
2004-09-25,Fulham,Southampton,1481.0646237504425,1479.8580607036888,6.0,10.0,-4.0,0,0,1.0,3.0,0.2,1.2,2.0,57.49999999999999,6.0,8.0,-2.0,0,1,1.0,3.0,0.2,1.2,1.6,0,0,0,0.0,0.0,1,0
2004-09-25,Liverpool,Norwich,1505.3016498278712,1489.5467067622264,7.0,5.0,2.0,0,1,2.0,2.0,0.4,1.4,1.0,157.5,4.0,8.0,-4.0,0,0,0.0,2.0,0.0,0.8,1.6,0,0,0,0.0,0.0,3,0
2004-09-25,Bolton,Birmingham,1514.0076218976458,1486.1273652736797,7.0,7.0,0.0,0,0,2.0,1.0,0.4,1.4,1.4,107.5,3.0,5.0,-2.0,0,0,1.0,3.0,0.2,0.6,1.0,0,0,0,0.0,0.0,1,1
2004-09-26,Portsmouth,Everton,1499.6280459442478,1518.3292108636876,9.0,8.0,1.0,0,1,2.0,2.0,0.4,1.8,1.6,7.5,7.0,2.0,5.0,2,0,4.0,0.0,0.8,1.4,0.4,0,0,0,0.0,0.0,0,1
2004-09-27,Charlton,Blackburn,1483.5941470403666,1480.434657271657,6.0,6.0,0.0,0,0,2.0,1.0,0.4,1.2,1.2,107.5,4.0,10.0,-6.0,1,0,1.0,3.0,0.2,0.8,2.0,0,0,0,0.0,0.0,1,0
2004-10-02,Arsenal,Charlton,1547.4345689554225,1488.160001809323,13.0,3.0,10.0,1,0,4.0,0.0,0.8,2.6,0.6,107.5,5.0,5.0,0.0,1,0,2.0,1.0,0.4,1.0,1.0,0,0,0,0.0,0.0,4,0
2004-10-02,Blackburn,Aston Villa,1475.8688025027006,1504.231015556378,2.0,8.0,-6.0,0,1,1.0,3.0,0.2,0.4,1.6,57.49999999999999,5.0,6.0,-1.0,0,0,1.0,1.0,0.2,1.0,1.2,0,0,0,0.0,0.0,2,2
2004-10-02,Everton,Tottenham,1525.0033117934638,1501.6937760494563,5.0,1.0,4.0,3,0,4.0,0.0,0.8,1.0,0.2,57.49999999999999,2.0,2.0,0.0,0,1,1.0,1.0,0.2,0.4,0.4,0,0,0,0.0,0.0,0,1
2004-10-02,Norwich,Portsmouth,1482.6209528294662,1492.9539450144716,3.0,9.0,-6.0,0,1,0.0,2.0,0.0,0.6,1.8,7.5,8.0,8.0,0.0,0,2,2.0,3.0,0.4,1.6,1.6,0,0,0,0.0,0.0,2,2
2004-10-02,Southampton,Man City,1474.2367889094076,1498.0142225565078,3.0,7.0,-4.0,0,2,0.0,4.0,0.0,0.6,1.4,7.5,6.0,4.0,2.0,0,1,2.0,3.0,0.4,1.2,0.8,0,0,0,0.0,0.0,0,0
2004-10-02,West Brom,Bolton,1481.15340781184,1510.5120908486203,4.0,10.0,-6.0,0,1,0.0,3.0,0.0,0.8,2.0,-42.5,8.0,6.0,2.0,0,0,2.0,0.0,0.4,1.6,1.2,0,0,0,0.0,0.0,2,1
2004-10-03,Birmingham,Newcastle,1489.6228963227052,1517.1195550021193,4.0,5.0,-1.0,0,0,1.0,2.0,0.2,0.8,1.0,7.5,12.0,8.0,4.0,3,0,3.0,1.0,0.6,2.4,1.6,0,0,0,0.0,0.0,2,2
2004-10-03,Chelsea,Liverpool,1526.5743365244982,1512.2274037606314,5.0,1.0,4.0,1,0,3.0,0.0,0.6,1.0,0.2,107.5,9.0,4.0,5.0,1,0,3.0,2.0,0.6,1.8,0.8,0,0,0,0.0,0.0,1,0
2004-10-03,Man United,Middlesbrough,1517.2666652926941,1501.9063516022097,6.0,4.0,2.0,2,0,2.0,0.0,0.4,1.2,0.8,57.49999999999999,6.0,4.0,2.0,0,2,3.0,2.0,0.6,1.2,0.8,0,0,0,0.0,0.0,1,1
2004-10-04,Crystal Palace,Fulham,1466.7140113133605,1486.6858955447237,4.0,10.0,-6.0,0,0,0.0,4.0,0.0,0.8,2.0,7.5,5.0,10.0,-5.0,1,0,1.0,3.0,0.2,1.0,2.0,0,0,0,0.0,0.0,2,0
2004-10-16,Arsenal,Aston Villa,1555.7187359938187,1505.0567711280871,14.0,3.0,11.0,2,0,4.0,0.0,0.8,2.8,0.6,120.0,7.0,5.0,2.0,0,0,1.0,0.0,0.2,1.4,1.0,0,0,0,0.0,0.0,3,1
2004-10-16,Birmingham,Man United,1490.192633186807,1515.2660445492038,5.0,7.0,-2.0,0,0,0.0,2.0,0.0,1.0,1.4,7.5,6.0,4.0,2.0,0,0,2.0,0.0,0.4,1.2,0.8,0,0,0,0.0,0.0,0,0
2004-10-16,Blackburn,Middlesbrough,1475.0430469309915,1503.9069723457,4.0,7.0,-3.0,0,0,1.0,2.0,0.2,0.8,1.4,7.5,5.0,5.0,0.0,0,0,2.0,2.0,0.4,1.0,1.0,0,0,0,0.0,0.0,0,4
2004-10-16,Bolton,Crystal Palace,1502.4310600308636,1478.0301815972953,7.0,7.0,0.0,0,1,1.0,1.0,0.2,1.4,1.4,82.5,6.0,8.0,-2.0,1,0,1.0,3.0,0.2,1.2,1.6,0,0,0,0.0,0.0,1,0
2004-10-16,Everton,Southampton,1516.7898102046038,1474.7015102366681,3.0,1.0,2.0,0,1,3.0,1.0,0.6,0.6,0.2,82.5,2.0,5.0,-3.0,0,0,0.0,3.0,0.0,0.4,1.0,0,0,0,0.0,0.0,1,0
2004-10-16,Fulham,Liverpool,1475.369725260789,1507.873002467057,5.0,10.0,-5.0,0,1,1.0,3.0,0.2,1.0,2.0,82.5,7.0,4.0,3.0,0,1,2.0,3.0,0.4,1.4,0.8,0,0,0,0.0,0.0,2,4
2004-10-16,Man City,Chelsea,1497.5495012292472,1530.9287378180727,6.0,3.0,3.0,0,0,2.0,2.0,0.4,1.2,0.6,-67.5,4.0,1.0,3.0,2,0,3.0,0.0,0.6,0.8,0.2,0,0,0,0.0,0.0,1,0
2004-10-16,West Brom,Norwich,1489.2344386295968,1482.702386228326,5.0,10.0,-5.0,1,0,1.0,3.0,0.2,1.0,2.0,45.0,3.0,9.0,-6.0,0,0,0.0,2.0,0.0,0.6,1.8,0,0,0,0.0,0.0,0,0
2004-10-17,Charlton,Newcastle,1479.8758347709268,1516.5498181380176,2.0,9.0,-7.0,0,1,1.0,2.0,0.2,0.4,1.8,82.5,12.0,8.0,4.0,0,0,3.0,1.0,0.6,2.4,1.6,0,0,0,0.0,0.0,1,1
2004-10-18,Portsmouth,Tottenham,1492.8725116156118,1509.9072776383164,9.0,8.0,1.0,0,0,2.0,2.0,0.4,1.8,1.6,7.5,2.0,1.0,1.0,1,0,2.0,1.0,0.4,0.4,0.2,0,0,0,0.0,0.0,1,0
2004-10-23,Norwich,Everton,1484.14111599659,1521.0933172476578,2.0,5.0,-3.0,0,0,0.0,1.0,0.0,0.4,1.0,-105.0,4.0,1.0,3.0,1,0,4.0,1.0,0.8,0.8,0.2,0,0,0,0.0,0.0,2,3
2004-10-23,Liverpool,Charlton,1520.1502196480953,1478.5912106424082,11.0,5.0,6.0,1,0,3.0,2.0,0.6,2.2,1.0,157.5,3.0,6.0,-3.0,0,0,1.0,1.0,0.2,0.6,1.2,0,0,0,0.0,0.0,2,0
2004-10-23,Tottenham,Bolton,1502.8163632845976,1507.0692881878072,1.0,2.0,-1.0,0,1,1.0,2.0,0.2,0.2,0.4,7.5,7.0,7.0,0.0,1,0,1.0,1.0,0.2,1.4,1.4,0,0,0,0.0,0.0,1,2
2004-10-23,Crystal Palace,West Brom,1473.3919534403517,1487.7957088613327,5.0,7.0,-2.0,0,1,1.0,3.0,0.2,1.0,1.4,45.0,4.0,8.0,-4.0,0,0,1.0,2.0,0.2,0.8,1.6,0,0,0,0.0,0.0,3,0
2004-10-23,Aston Villa,Fulham,1499.5021183119688,1463.0925080797506,4.0,6.0,-2.0,0,1,0.0,1.0,0.0,0.8,1.2,82.5,4.0,10.0,-6.0,0,2,1.0,3.0,0.2,0.8,2.0,0,0,0,0.0,0.0,2,0
2004-10-23,Chelsea,Blackburn,1522.4291418598395,1460.082352347741,2.0,1.0,1.0,0,1,2.0,1.0,0.4,0.4,0.2,120.0,3.0,10.0,-7.0,0,1,1.0,3.0,0.2,0.6,2.0,0,0,0,0.0,0.0,4,0
2004-10-24,Man United,Arsenal,1514.764676896427,1561.273388809937,6.0,4.0,2.0,0,0,2.0,0.0,0.4,1.2,0.8,-67.5,13.0,3.0,10.0,3,0,4.0,0.0,0.8,2.6,0.6,0,0,0,0.0,0.0,2,0
2004-10-24,Middlesbrough,Portsmouth,1518.8676669289505,1499.9634259693305,7.0,4.0,3.0,1,0,2.0,2.0,0.4,1.4,0.8,82.5,6.0,5.0,1.0,1,0,2.0,2.0,0.4,1.2,1.0,0,0,0,0.0,0.0,1,1
2004-10-24,Newcastle,Man City,1517.8344422665361,1506.0490971874804,11.0,5.0,6.0,0,0,3.0,0.0,0.6,2.2,1.0,45.0,3.0,3.0,0.0,1,0,2.0,2.0,0.4,0.6,0.6,0,0,0,0.0,0.0,4,3
2004-10-24,Southampton,Birmingham,1470.3980031936142,1490.6940008395836,1.0,4.0,-3.0,0,1,0.0,3.0,0.0,0.2,0.8,45.0,5.0,6.0,-1.0,0,0,0.0,1.0,0.0,1.0,1.2,0,0,0,0.0,0.0,0,0
2004-10-30,Portsmouth,Man United,1502.6768594388525,1528.518992308926,4.0,5.0,-1.0,0,0,1.0,2.0,0.2,0.8,1.0,67.5,6.0,2.0,4.0,1,0,3.0,0.0,0.6,1.2,0.4,0,0,0,0.0,0.0,2,0
2004-10-30,Fulham,Tottenham,1456.1038720760369,1495.8304238343546,4.0,9.0,-5.0,0,3,1.0,3.0,0.2,0.8,1.8,7.5,2.0,4.0,-2.0,0,2,1.0,3.0,0.2,0.4,0.8,0,0,0,0.0,0.0,2,0
